date,price
26-1-16,24.9
25-1-16,24.8
22-1-16,24.55
21-1-16,24.85
20-1-16,24.45
19-1-16,24.7
18-1-16,24.6
16-1-16,24.5
15-1-16,24.4
14-1-16,24.125
13-1-16,23.67
12-1-16,23.225
11-1-16,23.4
08-1-16,24.1055
07-1-16,24.017
06-1-16,23.35
05-1-16,24.089
04-1-16,24.1275
01-1-16,24.028
